2023-03-31 11:41:07:417,,EU1,Repository,,N/A,Recovered
2023-04-06 08:11:17:1117,,EU1,Repository,,N/A,Recovered
2023-04-13 02:36:55:3655,DEGRADATION-ID-50fa566e-b057,EU1,vsa10864815,Disk I/O,N/A,Slack_Alert
2023-04-15 06:23:53:2353,,EU1,Repository,,N/A,Recovered
2023-04-15 10:38:53:3853,,EU1,Repository,,N/A,Recovered
2023-04-17 15:55:06:556,ID-ac7365a0-d897,EU1,OrchestratorLifecycle,| Lifecycle Management - Public API |,N/A,Outage Detected
2023-04-17 15:57:01:571,ID-ac7365a0-d897,EU1,OrchestratorLifecycle,,N/A,Recovered
2023-04-17 16:04:09:49,ID-af76dbdc-bb07,EU1,Connectivity,| Connectivity Services - HTML5 |,N/A,Outage Detected
2023-04-17 16:04:09:49,ID-af76dbdc-bb07,EU1,Connectivity,|,N/A,Outage Detected
2023-04-17 16:05:56:556,ID-1273eed6-2a49,EU1,Connectivity,| Connectivity Services - HTML5 |,N/A,Outage Detected
2023-04-17 16:13:01:131,ID-1273eed6-2a49,EU1,Connectivity,,N/A,Recovered
2023-04-20 01:36:48:3648,DEGRADATION-ID-fcea1136-1ca4,EU1,vsa10864815,Disk I/O,N/A,Slack_Alert
2023-04-20 08:11:15:1115,,EU1,Repository,,N/A,Recovered
2023-04-21 04:05:19:519,,EU1,Repository,,N/A,Recovered
2023-04-22 11:08:54:854,,EU1,Repository,,N/A,Recovered
2023-04-24 07:29:36:2936,,EU1,Repository,,N/A,Recovered
2023-04-26 14:53:01:531,ID-a1ea4744-c7f4,EU1,OrchestratorLifecycle,| Lifecycle Management - Public API |,N/A,Outage Detected
2023-04-26 14:54:16:5416,ID-a1ea4744-c7f4,EU1,OrchestratorLifecycle,,N/A,Recovered
2023-04-26 18:03:03:33,ID-7bea4511-42f0,EU1,DomainDB,| Cloud Cockpit - DomainDB |,N/A,Outage Detected
2023-04-26 18:03:03:33,ID-7bea4511-42f0,EU1,SSO,| Security SSO Endpoints - Healthcheck |,N/A,Outage Detected
2023-04-26 18:03:03:33,ID-7bea4511-42f0,EU1,SSO,|,N/A,Outage Detected
2023-04-26 18:03:03:33,ID-7bea4511-42f0,EU1,OrchestratorLifecycle,| Lifecycle Management - Public API |,N/A,Outage Detected
2023-04-26 18:04:23:423,ID-7f1d067a-d846,EU1,SSO,|,N/A,Outage Detected
2023-04-29 10:26:30:2630,,EU1,Repository,,N/A,Recovered
2023-05-02 12:22:16:2216,DEGRADATION-ID-3dbe7bd1-b85b,EU1,vsa11144891,Disk I/O,N/A,Slack_Alert
2023-05-02 12:31:03:313,DEGRADATION-ID-5e0cd3a4-3bed,EU1,vsa11118897,Disk I/O,N/A,Slack_Alert
2023-05-02 12:31:03:313,DEGRADATION-ID-ff941f1b-067b,EU1,vsa10864648,Disk I/O,N/A,Slack_Alert
2023-05-04 20:39:53:3953,,EU1,Repository,,N/A,Recovered
2023-05-04 21:35:20:3520,,EU1,Repository,,N/A,Recovered
2023-05-05 06:47:45:4745,,EU1,Repository,,N/A,Recovered
2023-05-05 12:50:39:5039,,EU1,IAS,IASCCEUBasicAuthentication,N/A,Outage Detected
2023-05-05 12:53:42:5342,,EU1,ThousandEyes,ExternalChecktoL7Loadbalancers,N/A,Outage Detected
2023-05-05 12:53:42:5342,,EU1,IAS,,N/A,Recovered
2023-05-05 12:59:35:5935,,EU1,ThousandEyes monitors,,N/A,Recovered
